Customer_ID,Subscription_Type,Tenure_Months,Monthly_Charge,Monthly_Logins,Support_Tickets,Watch_Hours,Payment_Method,Auto_Renewal,Satisfaction_Score,Churn
1001,Basic,45,381,2,5,40.8,Debit Card,Yes,1,Yes
1002,Premium,32,1645,8,4,4.8,UPI,No,10,No
1003,Standard,30,888,27,0,45.1,UPI,No,6,No
1004,Standard,47,830,13,1,33.2,Debit Card,Yes,9,No
1005,Basic,35,585,13,3,44.0,Net Banking,Yes,1,No
1006,Basic,40,541,1,2,2.0,Debit Card,Yes,4,No
1007,Basic,16,550,6,3,10.1,UPI,No,4,Yes
1008,Premium,13,1454,24,1,20.7,Credit Card,Yes,9,No
1009,Standard,42,853,19,2,20.2,Debit Card,Yes,5,No
1010,Standard,30,795,16,1,12.9,Net Banking,Yes,5,No
1011,Basic,19,364,8,1,20.3,UPI,No,6,No
1012,Premium,17,1701,28,1,8.2,UPI,Yes,1,No
1013,Premium,19,1633,1,3,21.8,UPI,Yes,1,No
1014,Basic,28,538,27,5,40.5,UPI,Yes,9,No
1015,Basic,26,476,27,2,25.0,Net Banking,No,3,No
1016,Basic,37,566,16,3,2.9,Credit Card,Yes,4,No
1017,Basic,26,581,9,3,22.2,UPI,No,1,No
1018,Standard,23,717,13,3,3.3,Debit Card,Yes,9,No
1019,Standard,9,893,11,3,48.4,Credit Card,Yes,8,No
1020,Basic,12,582,13,2,8.1,UPI,Yes,2,Yes
1021,Standard,1,758,25,0,36.0,Credit Card,No,8,Yes
1022,Basic,1,397,21,1,48.7,Debit Card,Yes,7,No
1023,Basic,47,404,10,3,41.6,UPI,No,6,Yes
1024,Basic,34,398,4,0,35.6,Debit Card,No,1,No
1025,Standard,32,815,27,2,42.3,Net Banking,Yes,7,No
1026,Standard,48,783,6,1,49.1,UPI,No,10,No
1027,Basic,25,432,28,3,31.8,UPI,No,7,No
1028,Standard,40,756,7,2,28.8,UPI,Yes,9,Yes
1029,Standard,45,735,5,2,32.2,UPI,Yes,1,Yes
1030,Basic,1,352,11,1,27.6,Net Banking,No,2,Yes
1031,Standard,16,756,13,3,32.5,UPI,Yes,9,No
1032,Basic,39,501,26,2,23.6,Credit Card,No,9,No
1033,Basic,5,382,25,3,12.5,UPI,No,6,No
1034,Premium,22,1309,19,3,7.8,Net Banking,Yes,6,No
1035,Premium,29,1097,23,1,5.3,UPI,No,4,Yes
1036,Premium,3,1054,10,1,14.6,Credit Card,Yes,4,Yes
1037,Basic,12,300,10,2,4.2,Net Banking,Yes,5,No
1038,Basic,26,350,11,0,29.2,Net Banking,Yes,3,Yes
1039,Standard,16,842,21,0,15.6,Credit Card,Yes,1,Yes
1040,Standard,37,891,30,3,41.6,Credit Card,No,1,No
1041,Basic,22,559,7,1,5.6,Credit Card,No,7,Yes
1042,Standard,29,898,18,3,12.9,Credit Card,No,1,No
1043,Basic,14,333,4,2,37.1,Credit Card,Yes,1,Yes
1044,Premium,28,1761,2,0,30.7,Net Banking,Yes,3,No
1045,Basic,5,371,14,0,5.1,Net Banking,No,10,Yes
